Species,Treatment,Treatment_Long,Treatment_Val,Day_Installed,Month_Installed,Year_Installed,Day_Weighed,Month_Weighed,Year_Weighed,Group,Column,Row,Root_Biomass_g,Shoot_Biomass_g,Num_Plants_RT,Num_Plants_SH,AVG_RT_BMSS_g,AVG_SH_BMSS_g,Corrections,Night_Scale_7,Day_Scale_7
ACMI,C,Control,0,6,8,2025,5,8,2026,1,1,1,0.0002,0.0004,4,4,0.00005,0.0001,,6.111111111,23.88888889
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,1,1,1,0.0002,0.0006,4,4,0.00005,0.00015,,6.111111111,23.88888889
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,1,1,1,0.0001,0.0006,4,4,0.000025,0.00015,,6.111111111,23.88888889
ACMI,W,Water Only,0,6,8,2025,5,8,2026,1,1,1,0.0002,0.0006,4,4,0.00005,0.00015,,6.111111111,23.88888889
ACMI,C,Control,0,6,8,2025,5,8,2026,4,7,1,0.0004,0.0007,4,4,0.0001,0.000175,,15,23.88888889
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,4,7,1,0.0003,0.0007,4,4,0.000075,0.000175,,15,23.88888889
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,4,7,1,0.0003,0.0008,4,4,0.000075,0.0002,,15,23.88888889
ACMI,W,Water Only,0,6,8,2025,5,8,2026,4,7,1,0.0003,0.0006,4,4,0.000075,0.00015,,15,23.88888889
ACMI,C,Control,0,6,8,2025,5,8,2026,7,13,1,0.0002,0.0004,4,4,0.00005,0.0001,,23.88888889,23.88888889
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,7,13,1,0.0001,0.0006,4,4,0.000025,0.00015,,23.88888889,23.88888889
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,7,13,1,0.0001,0.0005,4,4,0.000025,0.000125,,23.88888889,23.88888889
ACMI,W,Water Only,0,6,8,2025,5,8,2026,7,13,1,0.00005,0.0005,3,3,1.66667E-05,0.000166667,,23.88888889,23.88888889
ACMI,C,Control,0,6,8,2025,4,17,2026,9,3,3,0.0002,0.0003,2,2,0.0001,0.00015,,9.074074074,20.92592593
ACMI,H,High SA Level,1,6,8,2025,4,17,2026,9,3,3,0.0002,0.0006,4,4,0.00005,0.00015,,9.074074074,20.92592593
ACMI,L,Low SA Level,0.5,6,8,2025,4,17,2026,9,3,3,0.0002,0.0005,3,3,6.66667E-05,0.000166667,,9.074074074,20.92592593
ACMI,W,Water Only,0,6,8,2025,4,17,2026,9,3,3,0.0002,0.0005,3,3,6.66667E-05,0.000166667,,9.074074074,20.92592593
ACMI,C,Control,0,6,8,2025,3,20,2026,13,11,3,0.0002,0.0004,3,3,6.66667E-05,0.000133333,,20.92592593,20.92592593
ACMI,H,High SA Level,1,6,8,2025,3,20,2026,13,11,3,0.0002,0.0007,4,4,0.00005,0.000175,,20.92592593,20.92592593
ACMI,L,Low SA Level,0.5,6,8,2025,3,20,2026,13,11,3,0.0002,0.0005,4,4,0.00005,0.000125,,20.92592593,20.92592593
ACMI,W,Water Only,0,6,8,2025,3,20,2026,13,11,3,0.0001,0.0004,3,3,3.33333E-05,0.000133333,,20.92592593,20.92592593
ACMI,C,Control,0,6,8,2025,5,8,2026,17,5,5,0.0003,0.0004,4,4,0.000075,0.0001,,12.03703704,17.96296296
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,17,5,5,0.0002,0.0006,4,4,0.00005,0.00015,,12.03703704,17.96296296
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,17,5,5,0.0004,0.0005,4,4,0.0001,0.000125,,12.03703704,17.96296296
ACMI,W,Water Only,0,6,8,2025,5,8,2026,17,5,5,0.0002,0.0002,3,3,6.66667E-05,6.66667E-05,,12.03703704,17.96296296
ACMI,C,Control,0,6,8,2025,3,20,2026,19,9,5,0.0002,0.0008,3,3,6.66667E-05,0.000266667,,17.96296296,17.96296296
ACMI,H,High SA Level,1,6,8,2025,3,20,2026,19,9,5,0.0002,0.0005,4,4,0.00005,0.000125,,17.96296296,17.96296296
ACMI,L,Low SA Level,0.5,6,8,2025,3,20,2026,19,9,5,0.0002,0.0005,4,4,0.00005,0.000125,,17.96296296,17.96296296
ACMI,W,Water Only,0,6,8,2025,3,20,2026,19,9,5,0.0005,0.0006,4,4,0.000125,0.00015,,17.96296296,17.96296296
ACMI,C,Control,0,6,8,2025,5,8,2026,22,1,7,0.0001,0.0004,4,4,0.000025,0.0001,,6.111111111,15
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,22,1,7,0.0002,0.0004,4,4,0.00005,0.0001,,6.111111111,15
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,22,1,7,0.0001,0.0003,3,3,3.33333E-05,0.0001,,6.111111111,15
ACMI,W,Water Only,0,6,8,2025,5,8,2026,22,1,7,0.00005,0.0002,3,3,1.66667E-05,6.66667E-05,,6.111111111,15
ACMI,C,Control,0,6,8,2025,5,8,2026,25,7,7,0.0003,0.0004,4,4,0.000075,0.0001,,15,15
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,25,7,7,0.0004,0.0005,4,4,0.0001,0.000125,,15,15
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,25,7,7,0.0003,0.0004,3,3,0.0001,0.000133333,,15,15
ACMI,W,Water Only,0,6,8,2025,5,8,2026,25,7,7,0.0003,0.0004,4,4,0.000075,0.0001,,15,15
ACMI,C,Control,0,6,8,2025,5,8,2026,28,13,7,0.0002,0.0005,4,4,0.00005,0.000125,,23.88888889,15
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,28,13,7,0.0001,0.0003,3,3,3.33333E-05,0.0001,,23.88888889,15
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,28,13,7,0.0003,0.0007,4,4,0.000075,0.000175,,23.88888889,15
ACMI,W,Water Only,0,6,8,2025,5,8,2026,28,13,7,0.00005,0.0002,2,2,0.000025,0.0001,,23.88888889,15
ACMI,C,Control,0,6,8,2025,5,8,2026,31,5,9,0.0002,0.0003,3,3,6.66667E-05,0.0001,,12.03703704,12.03703704
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,31,5,9,0.00005,0.0002,2,2,0.000025,0.0001,,12.03703704,12.03703704
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,31,5,9,0.0001,0.0002,3,3,3.33333E-05,6.66667E-05,,12.03703704,12.03703704
ACMI,W,Water Only,0,6,8,2025,5,8,2026,31,5,9,0.0003,0.0003,4,4,0.000075,0.000075,,12.03703704,12.03703704
ACMI,C,Control,0,6,8,2025,5,8,2026,33,9,9,0.0002,0.0006,4,4,0.00005,0.00015,,17.96296296,12.03703704
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,33,9,9,0.0002,0.0004,4,4,0.00005,0.0001,,17.96296296,12.03703704
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,33,9,9,0.0003,0.0005,4,4,0.000075,0.000125,,17.96296296,12.03703704
ACMI,W,Water Only,0,6,8,2025,5,8,2026,33,9,9,0.0001,0.00005,3,3,3.33333E-05,1.66667E-05,,17.96296296,12.03703704
ACMI,C,Control,0,6,8,2025,9,4,2025,37,3,11,NA,NA,0,0,NA,NA,,9.074074074,9.074074074
ACMI,H,High SA Level,1,6,8,2025,5,8,2026,37,3,11,0.00005,0.00005,1,1,0.00005,0.00005,,9.074074074,9.074074074
ACMI,L,Low SA Level,0.5,6,8,2025,5,8,2026,37,3,11,0.00005,0.0001,1,1,0.00005,0.0001,,9.074074074,9.074074074
ACMI,W,Water Only,0,6,8,2025,5,8,2026,37,3,11,0.00005,0.00005,2,2,0.000025,0.000025,,9.074074074,9.074074074
ACMI,C,Control,0,6,8,2025,4,17,2026,41,11,11,0.0002,0.0005,4,4,0.00005,0.000125,,20.92592593,9.074074074
ACMI,H,High SA Level,1,6,8,2025,4,17,2026,41,11,11,0.0002,0.0005,4,4,0.00005,0.000125,,20.92592593,9.074074074
ACMI,L,Low SA Level,0.5,6,8,2025,4,17,2026,41,11,11,0.0002,0.0005,4,4,0.00005,0.000125,,20.92592593,9.074074074
ACMI,W,Water Only,0,6,8,2025,4,17,2026,41,11,11,0.0002,0.0005,4,4,0.00005,0.000125,,20.92592593,9.074074074
ACMI,C,Control,0,6,8,2025,5,8,2026,43,1,13,0.00005,0.00005,1,1,0.00005,0.00005,,6.111111111,6.111111111
ACMI,H,High SA Level,1,6,8,2025,9,4,2025,43,1,13,NA,NA,0,0,NA,NA,,6.111111111,6.111111111
ACMI,L,Low SA Level,0.5,6,8,2025,9,4,2025,43,1,13,NA,NA,0,0,NA,NA,,6.111111111,6.111111111
ACMI,W,Water Only,0,6,8,2025,9,4,2025,43,1,13,NA,NA,0,0,NA,NA,,6.111111111,6.111111111
ACMI,C,Control,0,6,8,2025,3,20,2026,46,7,13,0.0003,0.0001,4,4,0.000075,0.000025,,15,6.111111111
ACMI,H,High SA Level,1,6,8,2025,3,20,2026,46,7,13,0.0002,0.0001,3,3,6.66667E-05,3.33333E-05,,15,6.111111111
ACMI,L,Low SA Level,0.5,6,8,2025,3,20,2026,46,7,13,0.0002,0.0001,2,2,0.0001,0.00005,,15,6.111111111
ACMI,W,Water Only,0,6,8,2025,3,20,2026,46,7,13,0.0003,0.0001,3,3,0.0001,3.33333E-05,,15,6.111111111
ACMI,C,Control,0,6,8,2025,4,17,2026,49,13,13,0.00005,0.0003,4,4,0.0000125,0.000075,,23.88888889,6.111111111
ACMI,H,High SA Level,1,6,8,2025,4,17,2026,49,13,13,0.0001,0.0004,4,4,0.000025,0.0001,,23.88888889,6.111111111
ACMI,L,Low SA Level,0.5,6,8,2025,4,17,2026,49,13,13,0.00005,0.0003,3,3,1.66667E-05,0.0001,,23.88888889,6.111111111
ACMI,W,Water Only,0,6,8,2025,4,17,2026,49,13,13,0.0001,0.0004,4,4,0.000025,0.0001,,23.88888889,6.111111111
