Species,Treatment,Treatment_Long,Treatment_Val,Day_Installed,Month_Installed,Year_Installed,Day_Collected,Month_Collected,Year_Collected,Days_Since_Install,Day_Temp_Actual,Night_Temp_Actual,Day_Scale_14,Day_Scale_7,Night_Scale_14,Night_Scale_7,Seed_Num,Group,Column,Row,Cell,Root_Pheno_Code,Shoot_Pheno_Code,Corrections
POSE,C,Control,0.0,21,6,2025,22,6,2025,1,23.51851852,6.481481481,23.14814815,23.88888889,6.851851852,6.111111111,59,1,2,2,1,0,0,
POSE,C,Control,0.0,21,6,2025,23,6,2025,2,23.51851852,5,23.14814815,23.88888889,5.37037037,6.111111111,57,1,1,2,1,0,0,
POSE,C,Control,0.0,21,6,2025,24,6,2025,3,25,5,24.62962963,23.88888889,5.37037037,6.111111111,1,1,1,1,1,1,0,
POSE,C,Control,0.0,21,6,2025,25,6,2025,4,25,6.481481481,24.62962963,23.88888889,6.851851852,6.111111111,3,1,2,1,1,2,0,
POSE,C,Control,0.0,21,6,2025,26,6,2025,5,23.51851852,6.481481481,23.14814815,23.88888889,6.851851852,6.111111111,59,1,2,2,1,2,0,
POSE,C,Control,0.0,21,6,2025,27,6,2025,6,23.51851852,5,23.14814815,23.88888889,5.37037037,6.111111111,57,1,1,2,1,2,0,
POSE,C,Control,0.0,21,6,2025,28,6,2025,7,25,5,24.62962963,23.88888889,5.37037037,6.111111111,1,1,1,1,1,2,0,
POSE,C,Control,0.0,21,6,2025,29,6,2025,8,25,6.481481481,24.62962963,23.88888889,6.851851852,6.111111111,3,1,2,1,1,2,6,
POSE,C,Control,0.0,21,6,2025,30,6,2025,9,23.51851852,6.481481481,23.14814815,23.88888889,6.851851852,6.111111111,59,1,2,2,1,2,7,
POSE,C,Control,0.0,21,6,2025,1,7,2025,10,23.51851852,5,23.14814815,23.88888889,5.37037037,6.111111111,57,1,1,2,1,3,7,
POSE,C,Control,0.0,21,6,2025,2,7,2025,11,25,5,24.62962963,23.88888889,5.37037037,6.111111111,1,1,1,1,1,4,8,
POSE,C,Control,0.0,21,6,2025,3,7,2025,12,25,6.481481481,24.62962963,23.88888889,6.851851852,6.111111111,3,1,2,1,1,4,8,
POSE,C,Control,0.0,21,6,2025,4,7,2025,13,23.51851852,6.481481481,23.14814815,23.88888889,6.851851852,6.111111111,59,1,2,2,1,5,9,
POSE,C,Control,0.0,21,6,2025,5,7,2025,14,23.51851852,5,23.14814815,23.88888889,5.37037037,6.111111111,57,1,1,2,1,5,9,
POSE,C,Control,0.0,21,6,2025,22,6,2025,1,23.51851852,7.222222222,23.14814815,23.88888889,6.851851852,6.111111111,60,1,2,2,2,0,0,
POSE,C,Control,0.0,21,6,2025,23,6,2025,2,23.51851852,5.740740741,23.14814815,23.88888889,5.37037037,6.111111111,58,1,1,2,2,0,0,
POSE,C,Control,0.0,21,6,2025,24,6,2025,3,25,5.740740741,24.62962963,23.88888889,5.37037037,6.111111111,2,1,1,1,2,0,0,
POSE,C,Control,0.0,21,6,2025,25,6,2025,4,25,7.222222222,24.62962963,23.88888889,6.851851852,6.111111111,4,1,2,1,2,1,0,
POSE,C,Control,0.0,21,6,2025,26,6,2025,5,23.51851852,7.222222222,23.14814815,23.88888889,6.851851852,6.111111111,60,1,2,2,2,2,6,
POSE,C,Control,0.0,21,6,2025,27,6,2025,6,23.51851852,5.740740741,23.14814815,23.88888889,5.37037037,6.111111111,58,1,1,2,2,3,7,
POSE,C,Control,0.0,21,6,2025,28,6,2025,7,25,5.740740741,24.62962963,23.88888889,5.37037037,6.111111111,2,1,1,1,2,3,7,
POSE,C,Control,0.0,21,6,2025,29,6,2025,8,25,7.222222222,24.62962963,23.88888889,6.851851852,6.111111111,4,1,2,1,2,4,9,
POSE,C,Control,0.0,21,6,2025,30,6,2025,9,23.51851852,7.222222222,23.14814815,23.88888889,6.851851852,6.111111111,60,1,2,2,2,4,9,
POSE,C,Control,0.0,21,6,2025,1,7,2025,10,23.51851852,5.740740741,23.14814815,23.88888889,5.37037037,6.111111111,58,1,1,2,2,4,9,
POSE,C,Control,0.0,21,6,2025,2,7,2025,11,25,5.740740741,24.62962963,23.88888889,5.37037037,6.111111111,2,1,1,1,2,5,9,
POSE,C,Control,0.0,21,6,2025,3,7,2025,12,25,7.222222222,24.62962963,23.88888889,6.851851852,6.111111111,4,1,2,1,2,5,9,
POSE,C,Control,0.0,21,6,2025,4,7,2025,13,23.51851852,7.222222222,23.14814815,23.88888889,6.851851852,6.111111111,60,1,2,2,2,5,9,
POSE,C,Control,0.0,21,6,2025,5,7,2025,14,23.51851852,5.740740741,23.14814815,23.88888889,5.37037037,6.111111111,58,1,1,2,2,5,9,
POSE,C,Control,0.0,21,6,2025,22,6,2025,1,22.77777778,7.222222222,23.14814815,23.88888889,6.851851852,6.111111111,88,1,2,2,3,0,0,
POSE,C,Control,0.0,21,6,2025,23,6,2025,2,22.77777778,5.740740741,23.14814815,23.88888889,5.37037037,6.111111111,86,1,1,2,3,0,0,
POSE,C,Control,0.0,21,6,2025,24,6,2025,3,24.25925926,5.740740741,24.62962963,23.88888889,5.37037037,6.111111111,30,1,1,1,3,1,0,
