Species,Treatment,Treatment_Long,Treatment_Val,Day_Installed,Month_Installed,Year_Installed,Day_Weighed,Month_Weighed,Year_Weighed,Group,Column,Row,Root_Biomass_g,Shoot_Biomass_g,Num_Plants_RT,Num_Plants_SH,AVG_RT_BMSS_g,AVG_SH_BMSS_g,Corrections,Night_Scale_7,Day_Scale_7,Corrected_rootweight,Corrected_shootweight
POSE,C,Control,0.0,21,6,2025,,7,2025,1,1,1,0.0004,0.0024,4,4,0.0001,0.0006,Need  to verify counts with scans,6.111111111,23.88888889,0,0
POSE,W,Water Only,0.0,21,6,2025,,7,2025,1,1,1,0.0003,0.0011,2,2,0.00015,0.00055,Need  to verify counts with scans,6.111111111,23.88888889,0.00005,-5E-05
POSE,L,Low SA Level,0.5,21,6,2025,,7,2025,1,1,1,0.0007,0.0016,3,3,0.000233333,0.000533333,Need  to verify counts with scans,6.111111111,23.88888889,0.000133333,-6.66667E-05
POSE,H,High SA Level,1.0,21,6,2025,,7,2025,1,1,1,0.0006,0.001,4,4,0.00015,0.00025,Need  to verify counts with scans,6.111111111,23.88888889,0.00005,-0.00035
POSE,C,Control,0.0,21,6,2025,,7,2025,4,7,1,0.0004,0.0008,2,2,0.0002,0.0004,Need  to verify counts with scans,15,23.88888889,0,0
POSE,W,Water Only,0.0,21,6,2025,,7,2025,4,7,1,0.0003,0.0008,2,2,0.00015,0.0004,Need  to verify counts with scans,15,23.88888889,-0.00005,0
POSE,L,Low SA Level,0.5,21,6,2025,,7,2025,4,7,1,0.001,0.0016,4,4,0.00025,0.0004,Need  to verify counts with scans,15,23.88888889,0.00005,0
POSE,H,High SA Level,1.0,21,6,2025,,7,2025,4,7,1,0.0013,0.0022,4,4,0.000325,0.00055,Need  to verify counts with scans,15,23.88888889,0.000125,0.00015
POSE,C,Control,0.0,21,6,2025,,7,2025,7,13,1,0.0003,0.0003,2,2,0.00015,0.00015,Need  to verify counts with scans,23.88888889,23.88888889,0,0
POSE,W,Water Only,0.0,21,6,2025,,7,2025,7,13,1,0.0004,0.0009,4,4,0.0001,0.000225,Need  to verify counts with scans,23.88888889,23.88888889,-0.00005,0.000075
